"name","description"
"mass460","The Vaccine Equity Initiative works with the populations and communities hardest hit by COVID19 to increase awareness and acceptance of the vaccine access to vaccination locations and vaccine administration rates"
"mass468","The weekly reports on vaccination data for 20 Massachusetts cities working with the COVID19 Vaccine Equity Initiative provide information on vaccine administration by community"
"mass473","Therefore on May 29 the Department of Early Education and Care (EEC) retired both theØMinimum Requirements for Health and SafetyØand theØCOVID19 Child Care PlaybookØand eliminated all COVIDspecific requirements for†child care"
"mass474","These cities and towns met the Massachusetts COVID19 Advisory Group recommendation to prioritize communities using theØCDC's Social Vulnerability Index (SVI)Øand COVID19 case rates since the start of the pandemic"
"mass475","These protocols include the option to use rapid tests in certain scenarios;†On January 19†2022 EEC launched Testing for Child Care a testing program that will provide EECaffiliated†child care†programs access to free COVID19 rapid antigen tests resources"
"mass476","They can order blank COVID19 Vaccination Record Cards in English and Spanish from the Massachusetts Clearing House at no cost and use the recipient's vaccine records (either the electronic health record or MIIS) to fill out a replacement card"
"mass477","This additional funding will support COVID19 public health emergency resources in cities and towns and the Baker-Polito Administration will execute emergency contracts with cities and health districts that have sufficient capacity"
"mass482","This funding is being awarded as part of the second round of the new†$36 million†Food Security Infrastructure Grant Program created following recommendations from the Administration's COVID19 Command Center's Food Security Task Force"
"mass483","This grant program implements the recommendations of the Food Security Task Force which was convened by the Massachusetts COVID19 Command Center in response to increased demands for food assistance"
"mass484","This guidance also reminds owners and operators that the Massachusetts Housing Court has suspended all nonemergency proceedings during the State of Emergency"
"mass485","This guidance provides information on becoming a COVID19 vaccine provider information about COVID19 vaccine products requesting vaccine and reporting to the Massachusetts Immunization Information System (MIIS) storage and handling"
"mass486","This includes simultaneous administration of the COVID19 vaccine and other vaccines such as the flu vaccine on the same day as well as coadministration within 14 days"
"mass487","This is a key effort in the Commonwealth's work to slow the spread of the virus by adding capacity to reach individuals who have come in close contact with individuals are confirmed positive for COVID19ù†"
"mass494","Baker-Polito Administration Announces Extension of School and NonEmergency Child Care Program Closures and Steps to Ensure Housing Stability To Support COVID19 Response is"
"mass495","Baker-Polito Administration Announces Field Medical Station Details New Support for Health Care Workforce Expanded COVID19 Data Reporting and Domestic Violence Resources is"
"mass496","Baker-Polito Administration Announces Increased Resources For Health Care Providers Expanded Support For LongTerm Care Facilities COVID19 Testing Initiatives is"
"mass497","Baker-Polito Administration Announces Launch of Pilot to Provide Dedicated COVID19 Testing Sites to Child Care Programs Expanded Resources for Providers is"
"mass498","Baker-Polito Administration Announces New Actions To Expand Health Care Workforce Other Actions To Support Providers Business During COVID19 is"
"mass499","Baker-Polito Administration Issues Further Public Health Guidance to Mitigate Spread of COVID19 Expands First Responder Testing Sites to Include Grocery Store Workers and Authorizes Increased National Guard Activation is"
"mass500","Baker-Polito Administration's First in the Nation COVID19 Pooled Testing Initiative Finds 07% Positivity Rate in Schools Throughout Commonwealth is"
"mass509","Through this grant program we are helping residents and businesses who've been impacted by the COVID19 pandemic while making investments in building a strong and equitable local food system for Massachusetts that is prepared for the futureù"
"mass510","To all healthcare sites or facilities that are currently performing or planning to perform COVID19 testing onsite: please be aware that this is a notifiable disease and results must be reported to the Massachusetts Department of Public Health"
"mass511","To assist individuals who cannot work due to the impact of COVID19 the administration is filing†emergency legislation that will allow new claims to be paid more quickly by waiving the one week waiting period for unemployment benefits"
"mass514","To ensure the care and safety of the Boston area's homeless population during the COVID19 epidemic the Baker-Polito Administration today announced that a former Boston Medical Center hospital building will be temporarily reopened and used"
"mass515","To help districts bring their children back to school the Governor allocated nearly $1 billion to municipalities and school districts through formula distributions of COVID Relief Funds and targeted grants providing students with access to computers"
"mass516","To qualify for rental assistance in Massachusetts you must have an income no more than 80 percent of the area median income (AMI) must be able to prove a financial hardship related to COVID19 and must be at risk of homelessness or housing instability"
"mass517","To support ongoing COVID19 emergency response efforts the Baker-Polito Administration has partnered with the Massachusetts Medical Society to match health and medical volunteers with our communities and health care providers based on skillsets and need"
"mass518","Today DPH issued new guidance to nursing homes and rest homes with recommendations aimed at protecting the health of residents and health care workers and mitigating the risk of transmission of COVID19 both inside and outside of these facilities"
"mass520","Today Governor Charlie Baker announced a new set of initiatives aimed at stopping the spread of COVID19 in Massachusetts especially in higher risk communities that have seen a recent uptick in cases"
"mass522","Today Governor Charlie Baker issued an emergency order requiring all businesses and organizations that do not provide COVID19 Essential Servicesù to close their physical workplaces and facilities"
"mass523","Today the Baker-Polito Administration announced $33 million in grants to address urgent food insecurity for Massachusetts residents as a result of the COVID19 pandemic and make the Commonwealth's food system more resilient"
"mass524","Today the Baker-Polito Administration announced a fourphase approach to reopening the Massachusetts economy amidst the COVID19 pandemic and published Mandatory Workplace Safety Standards that will apply across all sectors and industries"
"mass525","Today the Baker-Polito Administration announced a series of targeted measures to disrupt the increasing trend of new COVID19 cases and hospitalizations"
"mass526","Today the Baker-Polito Administration announced a threeweek suspension of school operations for educational purposes at all public and private elementary and secondary (K12) schools in the Commonwealth beginning Tuesday March 17"
"mass527","Today the Baker-Polito Administration announced allocation and distribution plans for the first round of COVID19 vaccine shipments to Massachusetts set to begin around December 15"
"mass528","Today the Baker-Polito Administration announced an expansion of its Stop the Spreadù initiative which provides free COVID19 testing in targeted communities across the Commonwealth"
"mass529","Today the Baker-Polito Administration announced further actions to support residents health care providers and small businesses during the COVID19 outbreak"
"mass530","Today the Baker-Polito Administration announced new COVID19 public health emergency responses†issuing new guidelines on travel and transportation and offering further support for health care professionals and patients"
"mass531","Today the Baker-Polito Administration announced several updates related to the COVID19 outbreak including extending the nonessential business emergency order and guidance for Executive Branch employees until May 4"
"mass532","Today the Baker-Polito Administration announced that the Commonwealth is on track to meet the goal of vaccinating 41 million residents by the first week of June and all remaining COVID19 restrictions will be lifted effective May 29"
"mass533","Today the Baker-Polito Administration announced the creation of the COVID19 Community Tracing Collaborative (CTC) to mitigate the spread of COVID19 in Massachusetts"
"mass534","Today the Baker-Polito Administration announced the details for a new field medical station at the Boston Convention and Exhibition Center (BCEC)"
"mass535","Today the Baker-Polito Administration issued a public health order to prevent uninsured individuals from receiving surprise bills and copays because of a COVID19 test"
"mass536","Today the Baker-Polito Administration issued further public health guidance expanded resources for critical workers and increased Massachusetts National Guard activation to support its ongoing response to mitigate the spread of COVID19"
"mass537","Today the Baker-Polito Administration launched a $668 million program to provide financial assistance to Massachusetts small businesses impacted by the COVID19 pandemic"
"mass538","Today the Baker-Polito Administration provided an update on the Commonwealth's hospital capacity and efforts to add more beds to the system to meet the expected surge in COVID19 cases"
"mass539","Today the Baker-Polito Administration released policies restricting visitors to nursing homes and rest homes in order to protect older adults at higher risk for Coronavirus (COVID19) and other respiratory illness"
"mass553","Today's announcement follows the Administration's announcements yesterday that Governor Baker issued an emergency order prohibiting the gathering of over 250 people and that 211 has been activated to provide realtime COVID19 information resources"
"mass564","What if a program needs extra support to administer the Testing†Programs can leverage parent volunteers to administer COVID-19 tests onsite if they meet EEC's licensing and background record check regulations"
"mass566","Whether you are a renter struggling to make payments or facing eviction due to COVID19 or a small landlord with tenants in crisis the Commonwealth of Massachusetts has resources available to help"
"mass567","While both Pfizer and Moderna vaccines are pending FDA emergency use authorization Massachusetts will not distribute the COVID19 vaccine until it receives this authorization"
"mass569","While Massachusetts has seen a decrease in COVID19 cases and hospitalizations†since May there has been a slight uptick in certain communities in†recent days"
"mass570","While vaccine providers may not bill for the COVID19 vaccine itself many vaccine providers in the state have contracted with outside entities such as Commonwealth Medicine to assist with insurance billing for the costs of administering the vaccine"
"mass571","Who should EEC-affiliated programs reach out to with questions related to COVID-19 protocols, guidelines and the Testing†EEC has partnered with Neighborhood Villages to develop the EEC Healthline"
"mass572","With initial state funding set to expire on April 18 the Baker-Polito Administration also announced today that it will cover the costs of the COVID19 pooled surveillance testing through the end of the school year"
"mass573","With our headquarters here in Massachusetts Everbridge proudly serves the Commonwealth as their statewide mass notification provider keeping citizens informed during COVID19"
"mass576","You and your legal counsel may wish to review the federal Public Readiness and Emergency Preparedness Act (PREP Act) and/or the Massachusetts Act to Provide Liability Protections for Health Care Workers and Facilities During the COVID19 Pandemic"
"mass580","You can also receive help from the COVID Relief Coalition a group of Massachusetts nonprofits law firms and governmental agencies of which the Attorney General's Office is a part"
